"E5_agua 1 - RawData"
"Wavelength nm."	"Abs."
545.000	0.114639
546.000	0.116135
547.000	0.117722
548.000	0.119339
549.000	0.120880
550.000	0.122406
551.000	0.123871
552.000	0.125381
553.000	0.126938
554.000	0.128311
555.000	0.129868
556.000	0.131363
557.000	0.132645
558.000	0.134064
559.000	0.135452
560.000	0.136734
561.000	0.138077
562.000	0.139297
563.000	0.140701
564.000	0.141876
565.000	0.143311
566.000	0.144547
567.000	0.145660
568.000	0.147064
569.000	0.148254
570.000	0.149536
571.000	0.150711
572.000	0.152008
573.000	0.153259
574.000	0.154465
575.000	0.155579
576.000	0.156693
577.000	0.157867
578.000	0.159042
579.000	0.160141
580.000	0.161301
581.000	0.162537
582.000	0.163528
583.000	0.164551
584.000	0.165527
585.000	0.166534
586.000	0.167648
587.000	0.168518
588.000	0.169373
589.000	0.170502
590.000	0.171280
591.000	0.172028
592.000	0.172913
593.000	0.173401
594.000	0.174194
595.000	0.174713
596.000	0.175278
597.000	0.175720
598.000	0.175919
599.000	0.176346
600.000	0.176437
601.000	0.176376
602.000	0.176331
603.000	0.176208
604.000	0.175934
605.000	0.175568
606.000	0.175034
607.000	0.174347
608.000	0.173538
609.000	0.172653
610.000	0.171677
611.000	0.170425
612.000	0.168884
613.000	0.167404
614.000	0.165726
615.000	0.163712
616.000	0.161850
617.000	0.159668
618.000	0.157272
619.000	0.154739
620.000	0.152008
621.000	0.149139
622.000	0.146027
623.000	0.142883
624.000	0.139587
625.000	0.135986
626.000	0.132401
627.000	0.128586
628.000	0.124786
629.000	0.120956
630.000	0.117142
631.000	0.113617
632.000	0.109772
633.000	0.105972
634.000	0.102356
635.000	0.098679
636.000	0.095200
637.000	0.091370
638.000	0.088196
639.000	0.084717
640.000	0.081665
641.000	0.078445
642.000	0.075653
643.000	0.072556
644.000	0.069870
645.000	0.067307
646.000	0.064835
647.000	0.062515
648.000	0.060287
649.000	0.058167
650.000	0.056274
651.000	0.054367
652.000	0.052719
653.000	0.051117
654.000	0.049713
655.000	0.048141
656.000	0.047012
657.000	0.045746
658.000	0.044586
659.000	0.043610
660.000	0.042435
661.000	0.041351
662.000	0.040604
663.000	0.039841
664.000	0.038971
665.000	0.038208
666.000	0.037399
667.000	0.036560
668.000	0.035980
669.000	0.035294
670.000	0.034622
671.000	0.034027
672.000	0.033432
673.000	0.032761
674.000	0.032227
675.000	0.031586
676.000	0.031052
677.000	0.030441
678.000	0.029770
679.000	0.029358
680.000	0.028732
681.000	0.028107
682.000	0.027664
683.000	0.027161
684.000	0.026596
685.000	0.026123
686.000	0.025482
687.000	0.024887
688.000	0.024414
689.000	0.023941
690.000	0.023361
691.000	0.022842
692.000	0.022217
693.000	0.021698
694.000	0.021271
695.000	0.020706
696.000	0.020172
697.000	0.019592
698.000	0.019058
699.000	0.018478
700.000	0.018005
701.000	0.017563
702.000	0.016998
703.000	0.016602
704.000	0.016098
705.000	0.015625
706.000	0.015244
707.000	0.014771
708.000	0.014328
709.000	0.013916
710.000	0.013458
711.000	0.012970
712.000	0.012726
713.000	0.012344
714.000	0.011917
715.000	0.011429
716.000	0.011063
717.000	0.010681
718.000	0.010208
719.000	0.009995
720.000	0.009644
721.000	0.009293
722.000	0.009018
723.000	0.008438
724.000	0.008255
725.000	0.008118
726.000	0.007767
727.000	0.007401
728.000	0.007202
729.000	0.006912
730.000	0.006668
731.000	0.006378
732.000	0.006195
733.000	0.005981
734.000	0.005676
735.000	0.005508
736.000	0.005310
737.000	0.005096
738.000	0.004929
739.000	0.004700
740.000	0.004456
741.000	0.004410
742.000	0.004150
743.000	0.004028
744.000	0.003906
745.000	0.003876
746.000	0.003723
747.000	0.003647
748.000	0.003571
749.000	0.003387
750.000	0.003067
751.000	0.003098
752.000	0.003113
753.000	0.002853
754.000	0.002747
755.000	0.002747
756.000	0.002701
757.000	0.002548
758.000	0.002518
759.000	0.002426
760.000	0.002426
761.000	0.002411
762.000	0.002182
763.000	0.002182
764.000	0.002243
765.000	0.002258
766.000	0.002106
767.000	0.001968
768.000	0.001831
769.000	0.001923
770.000	0.001801
771.000	0.001877
772.000	0.001846
773.000	0.001709
774.000	0.001724
775.000	0.001541
776.000	0.001633
777.000	0.001556
778.000	0.001541
779.000	0.001572
780.000	0.001419
781.000	0.001389
782.000	0.001419
783.000	0.001373
784.000	0.001373
785.000	0.001236
786.000	0.001175
787.000	0.001190
788.000	0.001160
789.000	0.001099
790.000	0.001144
791.000	0.001053
792.000	0.001144
793.000	0.001022
794.000	0.001160
795.000	0.001038
796.000	0.001068
797.000	0.001068
798.000	0.001099
799.000	0.001053
800.000	0.001068
801.000	 
802.000	 
803.000	 
804.000	 
805.000	 
806.000	 
807.000	 
808.000	 
809.000	 
810.000	 
811.000	 
812.000	 
813.000	 
814.000	 
815.000	 
816.000	 
817.000	 
818.000	 
819.000	 
820.000	 
821.000	 
822.000	 
823.000	 
824.000	 
825.000	 
826.000	 
827.000	 
828.000	 
829.000	 
830.000	 
831.000	 
832.000	 
833.000	 
834.000	 
835.000	 
836.000	 
837.000	 
838.000	 
839.000	 
840.000	 
841.000	 
842.000	 
843.000	 
844.000	 
845.000	 
846.000	 
847.000	 
848.000	 
849.000	 
850.000	 
851.000	 
852.000	 
853.000	 
854.000	 
855.000	 
856.000	 
857.000	 
858.000	 
859.000	 
860.000	 
861.000	 
862.000	 
863.000	 
864.000	 
865.000	 
866.000	 
867.000	 
868.000	 
869.000	 
870.000	 
871.000	 
872.000	 
873.000	 
874.000	 
875.000	 
876.000	 
877.000	 
878.000	 
879.000	 
880.000	 
881.000	 
882.000	 
883.000	 
884.000	 
885.000	 
886.000	 
887.000	 
888.000	 
889.000	 
890.000	 
891.000	 
892.000	 
893.000	 
894.000	 
895.000	 
896.000	 
897.000	 
898.000	 
899.000	 
900.000	 
901.000	 
902.000	 
903.000	 
904.000	 
905.000	 
906.000	 
907.000	 
908.000	 
909.000	 
910.000	 
911.000	 
912.000	 
913.000	 
914.000	 
915.000	 
916.000	 
917.000	 
918.000	 
919.000	 
920.000	 
921.000	 
922.000	 
923.000	 
924.000	 
925.000	 
926.000	 
927.000	 
928.000	 
929.000	 
930.000	 
931.000	 
932.000	 
933.000	 
934.000	 
935.000	 
936.000	 
937.000	 
938.000	 
