"E5_agua2 - RawData"
"Wavelength nm."	"Abs."
545.000	0.138412
546.000	0.140198
547.000	0.141922
548.000	0.143814
549.000	0.145508
550.000	0.147324
551.000	0.149002
552.000	0.150742
553.000	0.152512
554.000	0.154037
555.000	0.155838
556.000	0.157532
557.000	0.158997
558.000	0.160492
559.000	0.162201
560.000	0.163498
561.000	0.165024
562.000	0.166428
563.000	0.167969
564.000	0.169235
565.000	0.170746
566.000	0.172195
567.000	0.173615
568.000	0.175049
569.000	0.176422
570.000	0.177872
571.000	0.179306
572.000	0.180771
573.000	0.182098
574.000	0.183380
575.000	0.184738
576.000	0.185898
577.000	0.187363
578.000	0.188583
579.000	0.189941
580.000	0.191132
581.000	0.192505
582.000	0.193741
583.000	0.194687
584.000	0.195892
585.000	0.197006
586.000	0.198029
587.000	0.199265
588.000	0.200256
589.000	0.201218
590.000	0.202072
591.000	0.203049
592.000	0.203690
593.000	0.204559
594.000	0.205353
595.000	0.205948
596.000	0.206467
597.000	0.206787
598.000	0.207138
599.000	0.207489
600.000	0.207581
601.000	0.207642
602.000	0.207336
603.000	0.207199
604.000	0.206726
605.000	0.206360
606.000	0.205566
607.000	0.204773
608.000	0.203873
609.000	0.202789
610.000	0.201599
611.000	0.200043
612.000	0.198334
613.000	0.196716
614.000	0.194641
615.000	0.192352
616.000	0.190048
617.000	0.187546
618.000	0.184677
619.000	0.181793
620.000	0.178589
621.000	0.175461
622.000	0.171783
623.000	0.168137
624.000	0.164200
625.000	0.160110
626.000	0.155945
627.000	0.151657
628.000	0.147278
629.000	0.142868
630.000	0.138443
631.000	0.134293
632.000	0.129929
633.000	0.125458
634.000	0.121353
635.000	0.117157
636.000	0.113083
637.000	0.108627
638.000	0.104858
639.000	0.100876
640.000	0.097351
641.000	0.093628
642.000	0.090256
643.000	0.086639
644.000	0.083511
645.000	0.080536
646.000	0.077744
647.000	0.075073
648.000	0.072525
649.000	0.070023
650.000	0.067902
651.000	0.065704
652.000	0.063660
653.000	0.061859
654.000	0.060028
655.000	0.058380
656.000	0.056946
657.000	0.055557
658.000	0.054214
659.000	0.052948
660.000	0.051743
661.000	0.050629
662.000	0.049500
663.000	0.048599
664.000	0.047516
665.000	0.046631
666.000	0.045792
667.000	0.044937
668.000	0.044113
669.000	0.043304
670.000	0.042542
671.000	0.041840
672.000	0.041214
673.000	0.040527
674.000	0.039749
675.000	0.038971
676.000	0.038376
677.000	0.037766
678.000	0.036957
679.000	0.036392
680.000	0.035797
681.000	0.035187
682.000	0.034576
683.000	0.033951
684.000	0.033417
685.000	0.032791
686.000	0.031998
687.000	0.031403
688.000	0.030869
689.000	0.030334
690.000	0.029678
691.000	0.029007
692.000	0.028366
693.000	0.027725
694.000	0.027206
695.000	0.026489
696.000	0.026047
697.000	0.025421
698.000	0.024734
699.000	0.024170
700.000	0.023651
701.000	0.023163
702.000	0.022522
703.000	0.022018
704.000	0.021561
705.000	0.020966
706.000	0.020355
707.000	0.019882
708.000	0.019318
709.000	0.018921
710.000	0.018433
711.000	0.017975
712.000	0.017471
713.000	0.017136
714.000	0.016510
715.000	0.015976
716.000	0.015594
717.000	0.015030
718.000	0.014526
719.000	0.014099
720.000	0.013763
721.000	0.013489
722.000	0.013062
723.000	0.012482
724.000	0.012253
725.000	0.011902
726.000	0.011627
727.000	0.011185
728.000	0.011002
