"E5_vinagre 2 - RawData"
"Wavelength nm."	"Abs."
545.000	0.345474
546.000	0.340134
547.000	0.334457
548.000	0.328400
549.000	0.322495
550.000	0.316116
551.000	0.309509
552.000	0.302444
553.000	0.295456
554.000	0.288651
555.000	0.281296
556.000	0.274490
557.000	0.267212
558.000	0.260223
559.000	0.253036
560.000	0.246155
561.000	0.239380
562.000	0.232498
563.000	0.225784
564.000	0.218826
565.000	0.212006
566.000	0.205505
567.000	0.199142
568.000	0.193054
569.000	0.187088
570.000	0.181030
571.000	0.175232
572.000	0.169662
573.000	0.164185
574.000	0.158859
575.000	0.153717
576.000	0.148544
577.000	0.143692
578.000	0.139114
579.000	0.134598
580.000	0.130219
581.000	0.126144
582.000	0.122101
583.000	0.118362
584.000	0.114517
585.000	0.111176
586.000	0.107864
587.000	0.104691
588.000	0.101563
589.000	0.098572
590.000	0.095535
591.000	0.092636
592.000	0.089966
593.000	0.087250
594.000	0.084488
595.000	0.081879
596.000	0.079483
597.000	0.076874
598.000	0.074600
599.000	0.072235
600.000	0.070099
601.000	0.067810
602.000	0.065781
603.000	0.063736
604.000	0.061829
605.000	0.060120
606.000	0.058304
607.000	0.056610
608.000	0.055145
609.000	0.053665
610.000	0.052322
611.000	0.050964
612.000	0.049591
613.000	0.048431
614.000	0.047363
615.000	0.046143
616.000	0.045242
617.000	0.044296
618.000	0.043411
619.000	0.042694
620.000	0.042114
621.000	0.041580
622.000	0.041016
623.000	0.040512
624.000	0.039993
625.000	0.039627
626.000	0.039413
627.000	0.039139
628.000	0.038971
629.000	0.038849
630.000	0.038635
631.000	0.038696
632.000	0.038605
633.000	0.038635
634.000	0.038635
635.000	0.038681
636.000	0.038651
637.000	0.038681
638.000	0.038788
639.000	0.038757
640.000	0.038956
641.000	0.038971
642.000	0.039124
643.000	0.039322
644.000	0.039474
645.000	0.039795
646.000	0.039902
647.000	0.040115
648.000	0.040146
649.000	0.040222
650.000	0.040375
651.000	0.040253
652.000	0.040390
653.000	0.040451
654.000	0.040421
655.000	0.040283
656.000	0.040436
657.000	0.040283
658.000	0.040405
659.000	0.040192
660.000	0.040100
661.000	0.040100
662.000	0.039993
663.000	0.039825
664.000	0.039810
665.000	0.039627
666.000	0.039581
667.000	0.039398
668.000	0.039230
669.000	0.038971
670.000	0.038727
671.000	0.038513
672.000	0.038452
673.000	0.038101
674.000	0.037827
675.000	0.037537
676.000	0.037170
677.000	0.036972
678.000	0.036606
679.000	0.036377
680.000	0.036072
681.000	0.035873
682.000	0.035553
683.000	0.035278
684.000	0.034958
685.000	0.034576
686.000	0.034180
687.000	0.033722
688.000	0.033524
689.000	0.033142
690.000	0.032791
691.000	0.032425
692.000	0.032166
693.000	0.031830
694.000	0.031586
695.000	0.031204
696.000	0.030777
697.000	0.030396
698.000	0.030014
699.000	0.029587
700.000	0.029266
701.000	0.028870
702.000	0.028442
703.000	0.028137
704.000	0.027695
705.000	0.027283
706.000	0.027023
707.000	0.026642
708.000	0.026291
709.000	0.025986
710.000	0.025650
711.000	0.025513
712.000	0.025070
713.000	0.024826
714.000	0.024384
715.000	0.023865
716.000	0.023712
717.000	0.023453
718.000	0.022995
719.000	0.022583
720.000	0.022156
721.000	0.021912
722.000	0.021606
723.000	0.021042
724.000	0.020859
725.000	0.020416
726.000	0.020309
727.000	0.019760
728.000	0.019501
729.000	0.019119
730.000	0.018768
731.000	0.018478
732.000	0.018234
733.000	0.017944
734.000	0.017517
735.000	0.017380
736.000	0.017014
737.000	0.016769
738.000	0.016357
739.000	0.016022
740.000	0.015671
741.000	0.015442
742.000	0.015076
743.000	0.014862
744.000	0.014481
745.000	0.014343
746.000	0.014084
747.000	0.013748
748.000	0.013565
749.000	0.013138
750.000	0.012863
751.000	0.012527
752.000	0.012268
753.000	0.012131
754.000	0.011734
755.000	0.011475
756.000	0.011200
757.000	0.010834
758.000	0.010544
759.000	0.010284
760.000	0.009903
761.000	0.009537
762.000	0.009171
763.000	0.008911
764.000	0.008896
765.000	0.008728
766.000	0.008469
767.000	0.008194
768.000	0.007950
769.000	0.007660
770.000	0.007385
771.000	0.007187
772.000	0.007034
773.000	0.006775
774.000	0.006668
775.000	0.006409
776.000	0.006226
777.000	0.006027
778.000	0.005768
779.000	0.005768
780.000	0.005402
781.000	0.005219
782.000	0.004990
783.000	0.004776
784.000	0.004578
785.000	0.004349
786.000	0.004150
787.000	0.003952
788.000	0.003815
789.000	0.003677
790.000	0.003479
791.000	0.003296
792.000	0.003021
793.000	0.002808
794.000	0.002716
795.000	0.002350
796.000	0.002213
797.000	0.001953
798.000	0.001984
799.000	0.001724
800.000	0.001648
801.000	 
802.000	 
803.000	 
804.000	 
805.000	 
806.000	 
807.000	 
808.000	 
809.000	 
810.000	 
811.000	 
812.000	 
813.000	 
814.000	 
815.000	 
816.000	 
817.000	 
818.000	 
819.000	 
820.000	 
821.000	 
822.000	 
823.000	 
824.000	 
825.000	 
826.000	 
827.000	 
828.000	 
829.000	 
830.000	 
831.000	 
832.000	 
833.000	 
834.000	 
835.000	 
836.000	 
837.000	 
838.000	 
839.000	 
840.000	 
841.000	 
842.000	 
843.000	 
844.000	 
845.000	 
846.000	 
847.000	 
848.000	 
849.000	 
850.000	 
851.000	 
852.000	 
853.000	 
854.000	 
855.000	 
856.000	 
857.000	 
858.000	 
859.000	 
860.000	 
861.000	 
862.000	 
863.000	 
864.000	 
865.000	 
866.000	 
867.000	 
868.000	 
869.000	 
870.000	 
871.000	 
872.000	 
873.000	 
874.000	 
875.000	 
876.000	 
877.000	 
878.000	 
879.000	 
880.000	 
881.000	 
882.000	 
883.000	 
884.000	 
885.000	 
886.000	 
887.000	 
888.000	 
889.000	 
890.000	 
891.000	 
892.000	 
893.000	 
894.000	 
895.000	 
896.000	 
897.000	 
898.000	 
899.000	 
900.000	 
901.000	 
902.000	 
903.000	 
904.000	 
905.000	 
906.000	 
907.000	 
908.000	 
909.000	 
910.000	 
911.000	 
912.000	 
913.000	 
914.000	 
915.000	 
916.000	 
917.000	 
918.000	 
919.000	 
920.000	 
921.000	 
922.000	 
923.000	 
924.000	 
925.000	 
926.000	 
927.000	 
928.000	 
929.000	 
930.000	 
931.000	 
932.000	 
933.000	 
934.000	 
935.000	 
936.000	 
937.000	 
938.000	 
939.000	 
940.000	 
941.000	 
942.000	 
943.000	 
944.000	 
945.000	 
946.000	 
947.000	 
948.000	 
949.000	 
950.000	 
951.000	 
